0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:42 +0900] "GET /jv/mypageReview.me?currentPage=1 HTTP/1.1" 200 17737
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:42 +0900] "GET /jv/resources/css/bootstrap.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:44 +0900] "GET /jv/mypageBookMarkList HTTP/1.1" 200 14485
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:46 +0900] "GET /jv/mypageTicketing.me HTTP/1.1" 200 20384
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:46 +0900] "GET /jv/mypagePwdConfirm.me HTTP/1.1" 200 15307
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:48 +0900] "GET /jv/mypageTicketing.me HTTP/1.1" 200 20384
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:49 +0900] "GET /jv/mypagePwdConfirm.me HTTP/1.1" 200 15307
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:51 +0900] "GET /jv/mypageTicketing.me HTTP/1.1" 200 20384
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:52 +0900] "GET /jv/mypageQnA.me HTTP/1.1" 200 18789
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:53 +0900] "GET /jv/mypageTicketing.me HTTP/1.1" 200 20384
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:54 +0900] "GET /jv/mypageQnA.me HTTP/1.1" 200 18789
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:56 +0900] "GET /jv/mypageTicketing.me HTTP/1.1" 200 20384
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:57 +0900] "GET /jv/mypageQnA.me HTTP/1.1" 200 18789
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:58 +0900] "GET /jv/mypagePwdConfirm.me HTTP/1.1" 200 15307
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:04:02 +0900] "GET /jv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:04:02 +0900] "GET /jv/ HTTP/1.1" 200 31180
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:04:02 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 3145728
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:04:02 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 2686976
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:04:03 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 29360128
